date,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,total_cases,total_deaths,hosp_patients,reproduction_rate
2020-03-01,33.0,1.0,4.71,0.14,73.0,1.0,,
2020-03-02,0.0,0.0,4.71,0.14,73.0,1.0,,
2020-03-03,0.0,0.0,4.71,0.14,73.0,1.0,,
2020-03-04,0.0,0.0,4.71,0.14,73.0,1.0,,
2020-03-05,0.0,0.0,4.71,0.14,73.0,1.0,,3.59
2020-03-06,0.0,0.0,4.71,0.14,73.0,1.0,,3.55
2020-03-07,0.0,0.0,4.71,0.14,73.0,1.0,,3.56
2020-03-08,391.0,18.0,55.86,2.57,464.0,19.0,,3.46
2020-03-09,0.0,0.0,55.86,2.57,464.0,19.0,,3.35
2020-03-10,0.0,0.0,55.86,2.57,464.0,19.0,,3.37
2020-03-11,0.0,0.0,55.86,2.57,464.0,19.0,,3.42
2020-03-12,0.0,0.0,55.86,2.57,464.0,19.0,,3.41
2020-03-13,0.0,0.0,55.86,2.57,464.0,19.0,,3.42
2020-03-14,0.0,0.0,55.86,2.57,464.0,19.0,,3.38
2020-03-15,3465.0,50.0,495.0,7.14,3929.0,69.0,,3.42
2020-03-16,0.0,0.0,495.0,7.14,3929.0,69.0,,3.58
2020-03-17,0.0,0.0,495.0,7.14,3929.0,69.0,,3.61
2020-03-18,0.0,0.0,495.0,7.14,3929.0,69.0,,3.6
2020-03-19,0.0,0.0,495.0,7.14,3929.0,69.0,,3.56
2020-03-20,0.0,0.0,495.0,7.14,3929.0,69.0,,3.47
2020-03-21,0.0,0.0,495.0,7.14,3929.0,69.0,,3.3
2020-03-22,27486.0,305.0,3926.57,43.57,31415.0,374.0,,3.18
2020-03-23,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.98
2020-03-24,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.75
2020-03-25,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.57
2020-03-26,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.43
2020-03-27,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.32
2020-03-28,0.0,0.0,3926.57,43.57,31415.0,374.0,,2.22
2020-03-29,94894.0,1732.0,13556.29,247.43,126309.0,2106.0,,2.12
2020-03-30,0.0,0.0,13556.29,247.43,126309.0,2106.0,,2.02
2020-03-31,0.0,0.0,13556.29,247.43,126309.0,2106.0,,1.94
2020-04-01,0.0,0.0,13556.29,247.43,126309.0,2106.0,,1.85
2020-04-02,0.0,0.0,13556.29,247.43,126309.0,2106.0,,1.73
2020-04-03,0.0,0.0,13556.29,247.43,126309.0,2106.0,,1.63
2020-04-04,0.0,0.0,13556.29,247.43,126309.0,2106.0,,1.56
2020-04-05,176151.0,6642.0,25164.43,948.86,302460.0,8748.0,,1.49
2020-04-06,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.41
2020-04-07,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.33
2020-04-08,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.26
2020-04-09,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.21
2020-04-10,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.16
2020-04-11,0.0,0.0,25164.43,948.86,302460.0,8748.0,,1.13
2020-04-12,219172.0,13889.0,31310.29,1984.14,521632.0,22637.0,,1.11
2020-04-13,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.08
2020-04-14,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.05
2020-04-15,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.02
2020-04-16,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.01
2020-04-17,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.01
2020-04-18,0.0,0.0,31310.29,1984.14,521632.0,22637.0,,1.02
2020-04-19,196150.0,15898.0,28021.43,2271.14,717782.0,38535.0,,1.03
2020-04-20,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,1.03
2020-04-21,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,1.02
2020-04-22,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,1.01
2020-04-23,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,1.0
2020-04-24,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,0.99
2020-04-25,0.0,0.0,28021.43,2271.14,717782.0,38535.0,,1.0
2020-04-26,205165.0,14899.0,29309.29,2128.43,922947.0,53434.0,,0.99
2020-04-27,0.0,0.0,29309.29,2128.43,922947.0,53434.0,,0.98
